num,Dew
3531,48
3532,53.1
3533,51.9
3534,50.4
3535,52
3536,51.6
3537,50.8
3538,47.4
3539,52.1
3540,51
3541,50
3542,43.6
3543,42.3
3544,45.5
3545,47.3
3546,51
3547,56.7
3548,52
3549,50.3
3550,46.3
3551,48.1
3552,46.2
3553,44
3554,46.1
3555,48.2
3556,45.3
3557,46.1
3558,47.3
3559,47.2
3560,46.2
3561,48.9
3562,52.3
3563,51.9
3564,47.5
3565,44.8
3566,47.9
3567,46.4
3568,44.4
3569,48.2
3570,54.1
3571,55.2
3572,56.5
3573,57.5
3574,56.9
3575,57.1
3576,56.1
3577,60.9
3578,60.5
3579,60.6
3580,58.9
3581,59.9
3582,55.1
3583,56.1
3584,55.1
3585,57.2
3586,57.9
3587,53.9
3588,51.6
3589,53.5
3590,60
3591,53.4
3592,49.9
3593,59
3594,53.4
3595,55.4
3596,55.1
3597,57.7
3598,59.7
3599,59.9
3600,58.3
3601,57.2
3602,54.5
3603,60
3604,59.3
3605,61
3606,61.1
3607,58.4
3608,56.2
3609,53.2
3610,52.5
3611,56.9
3612,52.2
3613,48.8
3614,50.1
3615,55.3
3616,55.1
3617,53.5
3618,49.5
3619,49.8
3620,49.6
3621,50.2
3622,53.6
3623,55.4
3624,55
3625,45.9
3626,54.3
3627,55.6
3628,55.8
3629,56.7
3630,54.9
3631,52.6
3632,52.6
3633,53.3
3634,55.1
3635,55.7
3636,61.4
3637,62.1
3638,64.2
3639,64.9
3640,64.1
3641,66.7
3642,66
3643,66.2
3644,65
3645,62.1
3646,57.8
3647,55.7
3648,60
3649,65.4
3650,62.3
