num,MaxTemp,MinTemp
3531,70,48
3532,70,52
3533,61,48
3534,64,46
3535,59,46
3536,61,52
3537,61,46
3538,59,46
3539,57,48
3540,66,0
3541,61,48
3542,66,45
3543,68,43
3544,66,46
3545,70,48
3546,72,52
3547,66,54
3548,66,52
3549,66,48
3550,63,45
3551,64,45
3552,64,43
3553,70,45
3554,70,48
3555,68,48
3556,66,46
3557,66,48
3558,68,45
3559,70,48
3560,68,45
3561,70,48
3562,73,50
3563,81,52
3564,75,52
3565,77,50
3566,79,52
3567,77,54
3568,77,52
3569,79,55
3570,79,61
3571,68,55
3572,75,55
3573,79,61
3574,77,59
3575,77,57
3576,79,59
3577,81,61
3578,77,64
3579,79,61
3580,79,59
3581,82,63
3582,81,63
3583,81,61
3584,79,57
3585,70,55
3586,68,57
3587,77,0
3588,77,57
3589,77,55
3590,79,63
3591,81,63
3592,79,59
3593,72,57
3594,75,55
3595,77,59
3596,81,57
3597,84,59
3598,86,61
3599,86,63
3600,86,66
3601,88,63
3602,88,64
3603,88,64
3604,88,64
3605,82,64
3606,79,64
3607,82,64
3608,84,63
3609,84,64
3610,88,64
3611,88,66
3612,88,63
3613,86,61
3614,90,61
3615,91,68
3616,95,70
3617,91,66
3618,91,68
3619,90,63
3620,95,70
3621,97,73
3622,99,70
3623,100,73
3624,102,77
3625,102,77
3626,102,77
3627,99,79
3628,97,72
3629,97,72
3630,88,70
3631,95,70
3632,97,72
3633,95,73
3634,99,73
3635,99,77
3636,88,66
3637,93,66
3638,91,75
3639,97,77
3640,100,81
3641,102,77
3642,91,77
3643,91,73
3644,93,72
3645,97,75
3646,93,75
3647,99,73
3648,102,77
3649,106,77
3650,95,72
3651,95,72
3652,99,79
3653,95,79
3654,102,79
3655,102,79
3656,104,77
3657,104,75
3658,106,77
3659,106,79
3660,104,79
3661,108,79
3662,111,84
3663,111,86
3664,113,84
3665,111,84
3666,113,88
3667,113,86
3668,102,77
3669,95,77
3670,91,72
3671,90,72
