num,Humidity
3531,71.9
3532,81.2
3533,90.2
3534,83.9
3535,91.6
3536,89
3537,89.7
3538,91.8
3539,97.4
3540,86.2
3541,92.8
3542,70.1
3543,63.1
3544,70.5
3545,70
3546,72.5
3547,89.5
3548,81.5
3549,80.8
3550,75.2
3551,77
3552,78.9
3553,65.5
3554,66.2
3555,74.7
3556,72.9
3557,72.9
3558,68
3559,71
3560,72.9
3561,71.6
3562,75.1
3563,62
3564,59.9
3565,53.8
3566,60.9
3567,57.2
3568,51.9
3569,51.9
3570,61.2
3571,82.2
3572,75.4
3573,70.1
3574,71.3
3575,73.3
3576,69.7
3577,74.5
3578,72.6
3579,75.7
3580,72.2
3581,70.6
3582,60.6
3583,65.8
3584,70.6
3585,90.3
3586,81.9
3587,72.6
3588,61.9
3589,63.3
3590,71.8
3591,57.4
3592,54.6
3593,83.5
3594,66.8
3595,66.5
3596,62.3
3597,61.6
3598,62.3
3599,57.8
3600,55.9
3601,53.8
3602,49.5
3603,63.9
3604,58.1
3605,66.5
3606,77.1
3607,64.7
3608,55
3609,52.4
3610,44.6
3611,55.5
3612,46.3
3613,43.1
3614,43.2
3615,45.9
3616,40
3617,42.9
3618,35.3
3619,38.3
3620,33.3
3621,31.3
3622,36.1
3623,36.4
3624,32.6
3625,25
3626,31.6
3627,35.7
3628,42
3629,43.2
3630,44.2
3631,36.9
3632,33.3
3633,36.2
3634,35.9
3635,35.8
3636,64.3
3637,55.9
3638,52
3639,48.6
3640,42.8
3641,50.9
3642,58
3643,64.3
3644,54.9
3645,44.3
3646,40.5
3647,37.3
3648,40
3649,43.7
3650,53.8
